label,message,feature_notes
smishing,Win a free iPhone today by completing verification.,"impersonation, credential_request"
benign,Your OTP for Steward Bank banking is 728655. Do not share this code.,reminder
benign,Your ZESA token purchase was successful.,reminder
benign,Your ZESA token purchase was successful.,transactional_sms
benign,Thank you for shopping with Bon Marche.,personal_message
benign,Can you send me the assignment notes later?,banking_notification
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"fear, urgency"
benign,Thank you for shopping with TM Pick n Pay.,transactional_sms
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"financial_lure, persuasion"
smishing,Your Steward Bank account requires immediate verification. Click here: http://wallet-authentication.net,"obfuscation, malicious_pattern"
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"fear, urgency"
benign,Your data bundle purchase was successful.,personal_message
smishing,Final warning: Your mobile banking access will be terminated today.,"financial_lure, persuasion"
smishing,Suspicious login detected on your account. Secure it now.,"urgency, malicious_url"
smishing,Limited-time government grant available. Register now.,"financial_lure, persuasion"
benign,Airtime recharge successful.,personal_message
benign,Your parcel is ready for collection at CBD Harare.,otp_notification
benign,Your parcel is ready for collection at Avondale.,otp_notification
benign,Can you send me the assignment notes later?,personal_message
benign,Can you send me the assignment notes later?,otp_notification
smishing,Suspicious login detected on your account. Secure it now.,"obfuscation, malicious_pattern"
benign,Reminder: Your appointment is scheduled for tomorrow at 4 PM.,reminder
smishing,Your package delivery failed. Confirm address here: http://wallet-authentication.net,"financial_lure, persuasion"
benign,Airtime recharge successful.,banking_notification
smishing,You have received a tax refund. Submit banking details to receive payment.,"fear, urgency"
smishing,Your package delivery failed. Confirm address here: http://account-update-alert.com,"obfuscation, malicious_pattern"
smishing,We noticed unauthorized activity in your account. Login immediately.,"obfuscation, malicious_pattern"
benign,Reminder: Your appointment is scheduled for tomorrow at 4 PM.,reminder
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"obfuscation, malicious_pattern"
benign,Your data bundle purchase was successful.,otp_notification
smishing,"Dear customer, update your PayNow wallet PIN immediately at http://wallet-authentication.net","fear, urgency"
benign,Your OTP for Steward Bank banking is 740165. Do not share this code.,personal_message
smishing,Act now to avoid account suspension.,"obfuscation, malicious_pattern"
smishing,You have received a tax refund. Submit banking details to receive payment.,"urgency, malicious_url"
smishing,Your package delivery failed. Confirm address here: http://wallet-authentication.net,"obfuscation, malicious_pattern"
smishing,Your SIM card will be blocked within 24 hours unless verified.,"urgency, malicious_url"
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"urgency, malicious_url"
benign,Your ZESA token purchase was successful.,otp_notification
benign,Your data bundle purchase was successful.,transactional_sms
benign,The bus will arrive in 10 minutes.,reminder
benign,PayNow transfer of USD500 completed successfully.,reminder
benign,Can you send me the assignment notes later?,personal_message
benign,Your OTP for CBZ banking is 817952. Do not share this code.,reminder
smishing,Act now to avoid account suspension.,"financial_lure, persuasion"
smishing,Your Steward Bank account requires immediate verification. Click here: http://secure-login-update.com,"financial_lure, persuasion"
smishing,Your package delivery failed. Confirm address here: http://wallet-authentication.net,"financial_lure, persuasion"
benign,Meeting moved to 9 AM today.,banking_notification
benign,Reminder: Your appointment is scheduled for tomorrow at 2 PM.,transactional_sms
benign,Thank you for shopping with OK Zimbabwe.,banking_notification
smishing,Win a free iPhone today by completing verification.,"urgency, malicious_url"
smishing,Your package delivery failed. Confirm address here: http://secure-login-update.com,"impersonation, credential_request"
smishing,You have received a tax refund. Submit banking details to receive payment.,"obfuscation, malicious_pattern"
benign,Lunch was great today thank you.,transactional_sms
benign,Your data bundle purchase was successful.,banking_notification
smishing,You have received a tax refund. Submit banking details to receive payment.,"financial_lure, persuasion"
smishing,Suspicious login detected on your account. Secure it now.,"impersonation, credential_request"
benign,Airtime recharge successful.,transactional_sms
benign,The bus will arrive in 10 minutes.,otp_notification
smishing,Final warning: Your mobile banking access will be terminated today.,"impersonation, credential_request"
smishing,Your package delivery failed. Confirm address here: http://secure-login-update.com,"financial_lure, persuasion"
benign,Your parcel is ready for collection at Borrowdale.,reminder
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"financial_lure, persuasion"
benign,Electricity outage scheduled for tonight from 8 PM.,personal_message
benign,Meeting moved to 2 PM today.,otp_notification
smishing,Your BancABC account requires immediate verification. Click here: http://verify-account-security.com,"obfuscation, malicious_pattern"
benign,Your data bundle purchase was successful.,banking_notification
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"urgency, malicious_url"
smishing,Your BancABC account requires immediate verification. Click here: http://wallet-authentication.net,"financial_lure, persuasion"
smishing,Win a free iPhone today by completing verification.,"urgency, malicious_url"
smishing,Act now to avoid account suspension.,"fear, urgency"
benign,Electricity outage scheduled for tonight from 8 PM.,reminder
benign,Your ZESA token purchase was successful.,personal_message
benign,Lunch was great today thank you.,transactional_sms
benign,Electricity outage scheduled for tonight from 8 PM.,banking_notification
benign,Mukuru transfer of USD100 completed successfully.,banking_notification
benign,Please remember our meeting tomorrow.,reminder
smishing,Your SIM card will be blocked within 24 hours unless verified.,"fear, urgency"
benign,Please remember our meeting tomorrow.,personal_message
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"fear, urgency"
benign,Your data bundle purchase was successful.,reminder
benign,EcoCash transfer of USD500 completed successfully.,personal_message
smishing,You have received a tax refund. Submit banking details to receive payment.,"impersonation, credential_request"
smishing,Suspicious login detected on your account. Secure it now.,"fear, urgency"
benign,Electricity outage scheduled for tonight from 8 PM.,otp_notification
smishing,Congratulations! You have won USD500. Claim your reward now.,"obfuscation, malicious_pattern"
benign,Your OTP for CBZ banking is 902020. Do not share this code.,personal_message
benign,Exam timetable has been released.,personal_message
benign,Airtime recharge successful.,banking_notification
smishing,We noticed unauthorized activity in your account. Login immediately.,"impersonation, credential_request"
benign,Your data bundle purchase was successful.,reminder
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"fear, urgency"
smishing,Your SIM card will be blocked within 24 hours unless verified.,"financial_lure, persuasion"
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"financial_lure, persuasion"
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"financial_lure, persuasion"
benign,Please remember our meeting tomorrow.,personal_message
benign,Please remember our meeting tomorrow.,transactional_sms
smishing,URGENT: Your EcoCash account has been suspended. Verify now at http://secure-login-update.com,"impersonation, credential_request"
smishing,Suspicious login detected on your account. Secure it now.,"fear, urgency"
benign,Please remember our meeting tomorrow.,transactional_sms
smishing,Win a free iPhone today by completing verification.,"impersonation, credential_request"
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"fear, urgency"
smishing,"Dear customer, update your PayNow wallet PIN immediately at http://secure-login-update.com","urgency, malicious_url"
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"fear, urgency"
smishing,We noticed unauthorized activity in your account. Login immediately.,"obfuscation, malicious_pattern"
smishing,"Dear customer, update your PayNow wallet PIN immediately at http://secure-login-update.com","impersonation, credential_request"
benign,Your data bundle purchase was successful.,reminder
benign,Can you send me the assignment notes later?,transactional_sms
benign,Your account balance is USD50.,transactional_sms
benign,Electricity outage scheduled for tonight from 8 PM.,banking_notification
smishing,Act now to avoid account suspension.,"obfuscation, malicious_pattern"
smishing,Your NMB account requires immediate verification. Click here: http://account-update-alert.com,"financial_lure, persuasion"
benign,Your ZESA token purchase was successful.,reminder
smishing,Your SIM card will be blocked within 24 hours unless verified.,"impersonation, credential_request"
smishing,URGENT: Your EcoCash account has been suspended. Verify now at http://account-update-alert.com,"obfuscation, malicious_pattern"
smishing,Act now to avoid account suspension.,"obfuscation, malicious_pattern"
benign,Your data bundle purchase was successful.,personal_message
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"fear, urgency"
benign,Meeting moved to 9 AM today.,transactional_sms
benign,Exam timetable has been released.,personal_message
benign,The bus will arrive in 10 minutes.,transactional_sms
benign,Meeting moved to 2 PM today.,banking_notification
smishing,Your package delivery failed. Confirm address here: http://verify-account-security.com,"urgency, malicious_url"
benign,Airtime recharge successful.,banking_notification
benign,Thank you for shopping with Bon Marche.,transactional_sms
benign,Meeting moved to 4 PM today.,banking_notification
smishing,Suspicious login detected on your account. Secure it now.,"urgency, malicious_url"
benign,Your ZESA token purchase was successful.,transactional_sms
smishing,Act now to avoid account suspension.,"obfuscation, malicious_pattern"
benign,Can you send me the assignment notes later?,transactional_sms
benign,Lunch was great today thank you.,otp_notification
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"fear, urgency"
smishing,"Dear customer, update your Mukuru wallet PIN immediately at http://secure-login-update.com","financial_lure, persuasion"
smishing,We noticed unauthorized activity in your account. Login immediately.,"obfuscation, malicious_pattern"
smishing,Win a free iPhone today by completing verification.,"financial_lure, persuasion"
smishing,Suspicious login detected on your account. Secure it now.,"impersonation, credential_request"
smishing,Your package delivery failed. Confirm address here: http://verify-account-security.com,"obfuscation, malicious_pattern"
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"impersonation, credential_request"
smishing,Your package delivery failed. Confirm address here: http://verify-account-security.com,"impersonation, credential_request"
benign,Exam timetable has been released.,personal_message
smishing,We noticed unauthorized activity in your account. Login immediately.,"obfuscation, malicious_pattern"
benign,Please remember our meeting tomorrow.,otp_notification
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"fear, urgency"
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"urgency, malicious_url"
smishing,Your package delivery failed. Confirm address here: http://wallet-authentication.net,"fear, urgency"
smishing,URGENT: Your PayNow account has been suspended. Verify now at http://account-update-alert.com,"financial_lure, persuasion"
benign,Can you send me the assignment notes later?,banking_notification
smishing,Your package delivery failed. Confirm address here: http://account-update-alert.com,"financial_lure, persuasion"
benign,Lunch was great today thank you.,transactional_sms
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"fear, urgency"
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"impersonation, credential_request"
benign,Meeting moved to 10 AM today.,otp_notification
benign,Your data bundle purchase was successful.,personal_message
benign,Your data bundle purchase was successful.,otp_notification
smishing,Your Steward Bank account requires immediate verification. Click here: http://account-update-alert.com,"financial_lure, persuasion"
benign,Please remember our meeting tomorrow.,transactional_sms
benign,Can you send me the assignment notes later?,personal_message
benign,Happy birthday! Wishing you a wonderful day ahead.,transactional_sms
benign,The bus will arrive in 10 minutes.,banking_notification
smishing,Congratulations! You have won USD50. Claim your reward now.,"fear, urgency"
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"obfuscation, malicious_pattern"
benign,Your parcel is ready for collection at Borrowdale.,banking_notification
benign,Your parcel is ready for collection at Avondale.,otp_notification
smishing,Congratulations! You have won USD500. Claim your reward now.,"urgency, malicious_url"
smishing,Your SIM card will be blocked within 24 hours unless verified.,"financial_lure, persuasion"
benign,Reminder: Your appointment is scheduled for tomorrow at 9 AM.,banking_notification
smishing,URGENT: Your Mukuru account has been suspended. Verify now at http://account-update-alert.com,"financial_lure, persuasion"
benign,Electricity outage scheduled for tonight from 8 PM.,reminder
smishing,Your SIM card will be blocked within 24 hours unless verified.,"urgency, malicious_url"
smishing,You have received a tax refund. Submit banking details to receive payment.,"fear, urgency"
smishing,Your SIM card will be blocked within 24 hours unless verified.,"urgency, malicious_url"
benign,Your data bundle purchase was successful.,otp_notification
smishing,Act now to avoid account suspension.,"impersonation, credential_request"
smishing,Final warning: Your mobile banking access will be terminated today.,"financial_lure, persuasion"
benign,Your account balance is USD100.,personal_message
smishing,Win a free iPhone today by completing verification.,"fear, urgency"
benign,Can you send me the assignment notes later?,reminder
smishing,Congratulations! You have won USD50. Claim your reward now.,"fear, urgency"
smishing,We noticed unauthorized activity in your account. Login immediately.,"obfuscation, malicious_pattern"
smishing,We noticed unauthorized activity in your account. Login immediately.,"urgency, malicious_url"
benign,Your ZESA token purchase was successful.,banking_notification
smishing,Final warning: Your mobile banking access will be terminated today.,"obfuscation, malicious_pattern"
smishing,Act now to avoid account suspension.,"impersonation, credential_request"
benign,OneMoney transfer of USD500 completed successfully.,banking_notification
benign,Your data bundle purchase was successful.,reminder
benign,Airtime recharge successful.,reminder
benign,Happy birthday! Wishing you a wonderful day ahead.,reminder
benign,Happy birthday! Wishing you a wonderful day ahead.,reminder
benign,Can you send me the assignment notes later?,otp_notification
benign,Airtime recharge successful.,banking_notification
smishing,"Dear customer, update your PayNow wallet PIN immediately at http://verify-account-security.com","obfuscation, malicious_pattern"
smishing,You have received a tax refund. Submit banking details to receive payment.,"impersonation, credential_request"
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"financial_lure, persuasion"
smishing,Your Steward Bank account requires immediate verification. Click here: http://verify-account-security.com,"fear, urgency"
smishing,Your package delivery failed. Confirm address here: http://secure-login-update.com,"obfuscation, malicious_pattern"
smishing,URGENT: Your PayNow account has been suspended. Verify now at http://account-update-alert.com,"impersonation, credential_request"
smishing,"Dear customer, update your Mukuru wallet PIN immediately at http://account-update-alert.com","obfuscation, malicious_pattern"
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"impersonation, credential_request"
benign,Reminder: Your appointment is scheduled for tomorrow at 2 PM.,otp_notification
smishing,We noticed unauthorized activity in your account. Login immediately.,"urgency, malicious_url"
benign,Your OTP for Steward Bank banking is 224851. Do not share this code.,otp_notification
smishing,Final warning: Your mobile banking access will be terminated today.,"financial_lure, persuasion"
smishing,Limited-time government grant available. Register now.,"urgency, malicious_url"
benign,The bus will arrive in 10 minutes.,transactional_sms
smishing,Your NMB account requires immediate verification. Click here: http://account-update-alert.com,"financial_lure, persuasion"
benign,Airtime recharge successful.,personal_message
benign,Airtime recharge successful.,reminder
benign,Your data bundle purchase was successful.,personal_message
benign,Your account balance is USD250.,personal_message
benign,Electricity outage scheduled for tonight from 8 PM.,banking_notification
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"impersonation, credential_request"
benign,The bus will arrive in 10 minutes.,banking_notification
smishing,Win a free iPhone today by completing verification.,"impersonation, credential_request"
smishing,Suspicious login detected on your account. Secure it now.,"impersonation, credential_request"
benign,Your OTP for Steward Bank banking is 162381. Do not share this code.,transactional_sms
smishing,We noticed unauthorized activity in your account. Login immediately.,"impersonation, credential_request"
benign,Your data bundle purchase was successful.,otp_notification
benign,Please remember our meeting tomorrow.,personal_message
benign,Meeting moved to 4 PM today.,reminder
smishing,Final warning: Your mobile banking access will be terminated today.,"urgency, malicious_url"
smishing,"Dear customer, update your OneMoney wallet PIN immediately at http://wallet-authentication.net","financial_lure, persuasion"
benign,Exam timetable has been released.,reminder
benign,Happy birthday! Wishing you a wonderful day ahead.,banking_notification
benign,Lunch was great today thank you.,otp_notification
smishing,You have received a tax refund. Submit banking details to receive payment.,"financial_lure, persuasion"
benign,Thank you for shopping with Bon Marche.,transactional_sms
benign,Can you send me the assignment notes later?,otp_notification
smishing,You have received a tax refund. Submit banking details to receive payment.,"impersonation, credential_request"
benign,Can you send me the assignment notes later?,transactional_sms
benign,Your parcel is ready for collection at Avondale.,transactional_sms
benign,Mukuru transfer of USD500 completed successfully.,banking_notification
smishing,"Dear customer, update your PayNow wallet PIN immediately at http://wallet-authentication.net","impersonation, credential_request"
smishing,Win a free iPhone today by completing verification.,"urgency, malicious_url"
smishing,"Dear customer, update your Mukuru wallet PIN immediately at http://account-update-alert.com","urgency, malicious_url"
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"fear, urgency"
benign,Airtime recharge successful.,personal_message
benign,Happy birthday! Wishing you a wonderful day ahead.,transactional_sms
smishing,Suspicious login detected on your account. Secure it now.,"financial_lure, persuasion"
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"impersonation, credential_request"
benign,Airtime recharge successful.,banking_notification
smishing,Limited-time government grant available. Register now.,"impersonation, credential_request"
smishing,We noticed unauthorized activity in your account. Login immediately.,"obfuscation, malicious_pattern"
benign,Thank you for shopping with TM Pick n Pay.,otp_notification
smishing,We noticed unauthorized activity in your account. Login immediately.,"impersonation, credential_request"
benign,The bus will arrive in 10 minutes.,transactional_sms
benign,Exam timetable has been released.,reminder
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"urgency, malicious_url"
benign,Happy birthday! Wishing you a wonderful day ahead.,transactional_sms
smishing,Limited-time government grant available. Register now.,"impersonation, credential_request"
